cell_id,current_cycle,cycle_alpha,beta,q_cut,q_end,forecast_points,current_soh_absolute_error,interval_coverage,soh_mae,soh_rmse
MATR_b3c17,919,0.7,0.5,0.6435924727272726,0.9308178181818181,395,0.003287017345428467,1.0,0.005631769005256363,0.006846336416170094
MATR_b3c24,248,0.3,0.25,0.3174144545454545,0.9492814545454545,576,0.0022516846656799316,1.0,0.005648395977914333,0.008301308916782943
MATR_b3c24,248,0.3,0.5,0.7016259454545454,0.9492814545454545,576,0.00223541259765625,1.0,0.005613767645425267,0.008241396809785617
MATR_b3c24,412,0.5,0.25,0.3098933272727272,0.9400740909090909,412,0.0030367374420166016,1.0,0.012642821061958387,0.017601136688001496
MATR_b3c24,412,0.5,0.5,0.6940506818181817,0.9400740909090909,412,0.0031107664108276367,1.0,0.012152816919447149,0.016918232858051514
MATR_b3c24,576,0.7,0.25,0.2995595909090909,0.9247323636363636,248,0.0006694197654724121,1.0,0.010020034928475656,0.01248297448726374
MATR_b3c24,576,0.7,0.5,0.6724199909090909,0.9247323636363636,248,0.000608980655670166,1.0,0.009225525682972323,0.011540465140143211
MATR_b3c31,219,0.3,0.25,0.3292603090909091,0.9685497272727271,511,0.0024599432945251465,1.0,0.005323264230254112,0.010461158166171552
MATR_b3c31,219,0.3,0.5,0.7244085727272727,0.9685497272727271,511,0.002505660057067871,1.0,0.005328497074821457,0.01060048695510733
MATR_b3c31,365,0.5,0.25,0.3205623454545454,0.960296818181818,365,0.0014192461967468262,1.0,0.0037906824725947967,0.005386932987483801
MATR_b3c31,365,0.5,0.5,0.7162919363636363,0.960296818181818,365,0.0014916062355041504,1.0,0.0036365461676088097,0.005194429103586047
MATR_b3c31,511,0.7,0.25,0.31759221818181815,0.9451580909090908,219,0.004422247409820557,1.0,0.012210407213533305,0.014485259986003895
MATR_b3c31,511,0.7,0.5,0.7131125181818181,0.9451580909090908,219,0.004533588886260986,1.0,0.011258519675633679,0.01328631500035695
MATR_b3c33,385,0.3,0.25,0.28344189999999997,0.9539906363636363,898,0.0018786191940307617,1.0,0.03341882797020315,0.048163748550877704
MATR_b3c33,385,0.3,0.5,0.6451241,0.9539906363636363,898,0.0017867684364318848,1.0,0.03329975693953329,0.047936128895516045
MATR_b3c33,641,0.5,0.25,0.28645745454545457,0.9428176363636362,642,0.001255631446838379,1.0,0.011044500215774014,0.013612713632561424
MATR_b3c33,641,0.5,0.5,0.6372569909090908,0.9428176363636362,642,0.0012236237525939941,1.0,0.011240467289897882,0.013859366644239497
MATR_b3c33,898,0.7,0.25,0.2716565909090909,0.9288221818181817,385,0.0036768317222595215,1.0,0.009169013469250172,0.010137572468723668
MATR_b3c33,898,0.7,0.5,0.6225774,0.9288221818181817,385,0.0037474632263183594,1.0,0.00930333509073629,0.010298992948431717
MATR_b3c36,277,0.3,0.25,0.2941888272727272,0.9538861818181817,645,0.002428591251373291,1.0,0.007098130847132483,0.010094386325124908
MATR_b3c36,277,0.3,0.5,0.6616952181818181,0.9538861818181817,645,0.0023603439331054688,1.0,0.007079984698184701,0.010086172026791707
MATR_b3c36,461,0.5,0.25,0.29301710909090906,0.9440913636363636,461,0.0012202858924865723,1.0,0.0068178429003651385,0.014129890456323317
MATR_b3c36,461,0.5,0.5,0.6548677818181817,0.9440913636363636,461,0.0012543201446533203,1.0,0.006889733342441716,0.014007277565332044
MATR_b3c36,645,0.7,0.25,0.28166909090909087,0.9294320909090908,277,0.0008015632629394531,1.0,0.007284229197657065,0.009777575239220942
MATR_b3c36,645,0.7,0.5,0.6434503454545454,0.9294320909090908,277,0.0008540153503417969,1.0,0.007328821003221863,0.009795816856814759
MATR_b3c6,200,0.3,0.25,0.29603237272727273,0.9294633636363636,466,0.0037441253662109375,1.0,0.0426421492908134,0.06762546240087196
MATR_b3c6,200,0.3,0.5,0.6690818636363636,0.9294633636363636,466,0.003772556781768799,1.0,0.04174724886345761,0.06632785371127883
